dav,getlastmodified,String
dav,getetag,String
dav,getcontenttype,String
dav,getcontentlength,int
dav,resourcetype,WebDavResourcetype
oc,id,String
oc,fileid,String
oc,favorite,int
oc,comments-href,String
oc,comments-count,int
oc,comments-unread,int
oc,downloadURL,String
oc,owner-id,String
oc,owner-display-name,String
oc,size,int
oc,permissions,String
nc,note,String
nc,data-fingerprint,String
nc,has-preview,bool
nc,mount-type,String
nc,is-encrypted,int
nc,metadata_etag,String
nc,upload_time,int
nc,creation_time,int
nc,rich-workspace,String
ocs,share-permissions,int
ocm,share-permissions,String
